fips,county,state,date,cases,deaths,tot_pop,metro,poverty_percent,percent_nw,case_rate,death_rate,percent_nw_quint,percent_poverty_quint
17097,Lake,IL,2020-05-10,5245,173,696535,Chi,8,39.24784827754528,753.0131292756287,24.837230002799572,4,2
17111,McHenry,IL,2020-05-10,945,51,307774,Chi,5.9,19.429516463378974,307.0434799560717,16.57060050556577,2,1
17197,Will,IL,2020-05-10,3684,202,690743,Chi,6.4,37.11438262856084,533.3387381413927,29.243872178219686,4,1
18033,DeKalb,IN,2020-05-10,23,1,43475,Chi,10.1,4.956871765382403,52.903967797584826,2.3001725129384707,1,3
18073,Jasper,IN,2020-05-10,39,1,33562,Chi,9.4,8.488767057982242,116.20284845956738,2.9795602169119837,1,2
18089,Lake,IN,2020-05-10,2445,124,485493,Chi,15.7,45.9263058375713,503.6117925490172,25.54104796567613,4,5
18111,Newton,IN,2020-05-10,64,8,13984,Chi,10.3,9.024599542334096,457.66590389016017,57.20823798627002,1,3
18127,Porter,IN,2020-05-10,313,9,170389,Chi,8.9,17.09558715644789,183.69730440345327,5.2820311170322025,2,2
55059,Kenosha,WI,2020-05-10,682,15,169561,Chi,12,24.37942687292479,402.21513201738605,8.846373871350133,2,4
09007,Middlesex,CT,2020-05-10,798,115,162436,Bos,6.7,16.3042675269029,491.27040803762713,70.79711394025955,2,1
09015,Windham,CT,2020-05-10,270,7,116782,Bos,11.7,17.80839512938638,231.20001370074158,5.994074429278485,2,3
25001,Barnstable,MA,2020-05-10,1068,68,212990,Bos,8,10.255411052162074,501.43199211230575,31.926381520259167,1,2
25005,Bristol,MA,2020-05-10,4931,266,565217,Bos,10.8,17.562812158869956,872.4082962826667,47.061571042626106,2,3
25009,Essex,MA,2020-05-10,11353,644,789034,Bos,10.7,30.546465678285095,1438.8480090845262,81.61878955786442,3,3
25017,Middlesex,MA,2020-05-10,17589,1207,1611699,Bos,7.3,28.480380021331523,1091.3328109032766,74.8899143078205,3,1
25021,Norfolk,MA,2020-05-10,6952,650,706775,Bos,6.5,25.505995543136077,983.6227936754979,91.96703335573557,3,1
25023,Plymouth,MA,2020-05-10,6382,393,521202,Bos,6.2,18.210405946255005,1224.477266012026,75.40262700450113,2,1
25025,Suffolk,MA,2020-05-10,15279,718,803907,Bos,17.5,55.286121404590325,1900.5929790386201,89.31381366252563,5,5
25027,Worcester,MA,2020-05-10,7743,444,830622,Bos,9,23.920026197235327,932.1929830897808,53.453917666519786,2,2
33011,Hillsborough,NH,2020-05-10,1438,56,417025,Bos,7.4,15.879143936214854,344.82345183142496,13.428451531682752,2,2
33013,Merrimack,NH,2020-05-10,237,10,151391,Bos,7,7.7673045293313345,156.5482756570734,6.605412474982,1,1
33015,Rockingham,NH,2020-05-10,978,53,309769,Bos,5.3,7.661515516400931,315.71913264400246,17.109523548192364,1,1
33017,Strafford,NH,2020-05-10,192,11,130633,Bos,9.7,9.416456791163029,146.9766444925861,8.420536924054412,1,3
44001,Bristol,RI,2020-05-10,154,1,48479,Bos,7.7,8.550093855071268,317.66331813775037,2.062748819076301,1,2
44003,Kent,RI,2020-05-10,703,28,164292,Bos,7.8,11.874589146154408,427.89667177951446,17.042826187519783,1,2
44005,Newport,RI,2020-05-10,161,1,82082,Bos,8.1,14.498915718427913,196.1453180965376,1.2182939012207306,1,2
44007,Providence,RI,2020-05-10,7138,203,638931,Bos,16.1,38.954284578459955,1117.178537275543,31.771818866199947,4,5
44009,Washington,RI,2020-05-10,363,20,125577,Bos,8,9.10198523614993,289.06567285410546,15.926483352843274,1,2
10001,Kent,DE,2020-05-10,1016,34,180786,Phl,13.8,38.583739891363265,561.9904196121381,18.806766010642416,4,4
10003,New Castle,DE,2020-05-10,2331,89,558753,Phl,11.6,43.25632256113166,417.1789681666139,15.928326111895597,4,3
24015,Cecil,MD,2020-05-10,242,13,102855,Phl,8.3,15.108648096835351,235.28267950026736,12.639152204559815,1,2
24029,Kent,MD,2020-05-10,113,13,19422,Phl,12.9,21.969931006075587,581.814437236124,66.93440428380187,2,4
34001,Atlantic,NJ,2020-05-10,1510,72,263670,Phl,12.8,44.34520423256343,572.685553912087,27.306860848788258,4,4
34005,Burlington,NJ,2020-05-10,3574,198,445349,Phl,6.2,32.973690296823385,802.5166779312405,44.45951377459027,3,1
34007,Camden,NJ,2020-05-10,4870,225,506471,Phl,12.9,43.78533025582906,961.5555480965347,44.425050990086305,4,4
34009,Cape May,NJ,2020-05-10,458,32,92039,Phl,10.3,14.877388932952334,497.6151414074468,34.76787014200502,1,3
34011,Cumberland,NJ,2020-05-10,1287,36,149527,Phl,15.2,54.64564928073191,860.714118520401,24.075919399172054,5,5
34015,Gloucester,NJ,2020-05-10,1654,81,291636,Phl,7.6,21.851554677748975,567.1453455677625,27.7743488458215,2,2
34033,Salem,NJ,2020-05-10,411,18,62385,Phl,11.2,26.195399535144663,658.8122144746333,28.85308968502044,3,3
42011,Berks,PA,2020-05-10,3371,170,421164,Phl,11.4,29.025747689736065,800.4007939899897,40.364323636398176,3,3
42017,Bucks,PA,2020-05-10,3966,341,628270,Phl,5.7,16.244289875372054,631.2572620051889,54.27602782243303,2,1
42029,Chester,PA,2020-05-10,1865,184,524989,Phl,6.7,20.746720407475205,355.2455384779491,35.048353394071114,2,1
42041,Cumberland,PA,2020-05-10,434,33,253370,Phl,7.3,14.691952480562023,171.29099735564589,13.024430674507636,1,1
42045,Delaware,PA,2020-05-10,4976,395,566747,Phl,8.8,33.575828367860794,877.9931786140905,69.69600191972785,3,2
42091,Montgomery,PA,2020-05-10,5260,525,830915,Phl,5.9,24.591083323805684,633.037073587551,63.18335810522135,2,1
42101,Philadelphia,PA,2020-05-10,14883,857,1584064,Phl,24.3,65.6519559815765,939.5453719041654,54.101349440426645,5,5
26049,Genesee,MI,2020-05-10,1758,224,405813,Det,18.8,27.55752033572113,433.2044562396966,55.19783742758364,3,5
26087,Lapeer,MI,2020-05-10,176,29,87607,Det,10.1,8.233360347917404,200.89718858082117,33.102377663885306,1,3
26091,Lenawee,MI,2020-05-10,127,2,98451,Det,10.4,13.444251455038547,128.9981818366497,2.0314674304984206,1,3
26093,Livingston,MI,2020-05-10,376,22,191995,Det,5,5.766295997291596,195.83843329253367,11.458631735201438,1,1
26099,Macomb,MI,2020-05-10,6042,698,873972,Det,11,21.436842370236118,691.326495585671,79.86525884124434,2,3
26115,Monroe,MI,2020-05-10,389,16,150500,Det,10,8.845847176079733,258.4717607973422,10.631229235880399,1,3
26125,Oakland,MI,2020-05-10,7736,843,1257584,Det,8.2,28.330036005547143,615.14777541699,67.0332955890024,3,2
26147,St. Clair,MI,2020-05-10,357,25,159128,Det,13.8,8.97139409783319,224.34769493740887,15.710622894776533,1,4
26161,Washtenaw,MI,2020-05-10,1182,81,367601,Det,15,30.224618540210717,321.54428306778277,22.034760514797295,3,5
26163,Wayne,MI,2020-05-10,18075,2097,1749343,Det,21.7,50.65770406375422,1033.2450525711654,119.87357539373353,5,5
13013,Barrow,GA,2020-05-10,193,5,83240,Atl,9.5,28.61484863046612,231.85968284478616,6.00672753483902,3,2
13015,Bartow,GA,2020-05-10,363,31,107738,Atl,12.2,22.43034026991405,336.9284746329057,28.773506098126937,2,4
13035,Butts,GA,2020-05-10,180,17,24936,Atl,19.7,32.94433750401027,721.8479307025987,68.17452678857876,3,5
13045,Carroll,GA,2020-05-10,395,17,119992,Atl,16.8,28.88359223948263,329.1886125741716,14.167611174078273,3,5
13057,Cherokee,GA,2020-05-10,607,17,258773,Atl,7.4,21.215505481638345,234.56852144543672,6.569464356791474,2,2
13063,Clayton,GA,2020-05-10,925,34,292256,Atl,17.6,89.58207872550093,316.5033395379394,11.63363626409723,5,5
13067,Cobb,GA,2020-05-10,2175,117,760141,Atl,9.1,48.313405013017324,286.131125672737,15.391881243085164,4,2
13077,Coweta,GA,2020-05-10,276,4,148509,Atl,10.2,28.67839659549253,185.84732238450195,2.6934394548478546,3,3
13085,Dawson,GA,2020-05-10,81,1,26108,Atl,8.7,7.721771104642255,310.24973188294774,3.830243603493182,1,2
13089,DeKalb,GA,2020-05-10,2530,69,759297,Atl,14.3,70.56342906662347,333.2029495704579,9.087353170103398,5,4
13097,Douglas,GA,2020-05-10,403,11,146343,Atl,12.6,60.68551280211558,275.380441838694,7.51658774249537,5,4
13113,Fayette,GA,2020-05-10,199,12,114421,Atl,5,38.28056038664231,173.91912323786718,10.487585320876413,4,1
13117,Forsyth,GA,2020-05-10,388,10,244252,Atl,5,28.776837037158344,158.8523328365786,4.094132289602541,3,1
13121,Fulton,GA,2020-05-10,3508,144,1063937,Atl,13.5,59.54205935125858,329.7187709422644,13.534635979385996,5,4
13135,Gwinnett,GA,2020-05-10,2447,87,936250,Atl,9.2,63.08891855807743,261.36181575433915,9.292389853137516,5,2
13139,Hall,GA,2020-05-10,2012,28,204441,Atl,13.2,39.29740120621597,984.1470155203702,13.695882919766584,4,4
13143,Haralson,GA,2020-05-10,32,2,29792,Atl,15.9,9.052765843179376,107.41138560687432,6.713211600429645,1,5
13149,Heard,GA,2020-05-10,14,1,11923,Atl,17.1,15.197517403338088,117.42011238782186,8.387150884844418,2,5
13151,Henry,GA,2020-05-10,604,14,234561,Atl,7.5,57.137375778582125,257.5023128312038,5.968596655027903,5,2
13171,Lamar,GA,2020-05-10,40,1,19077,Atl,17.3,35.29905121350317,209.6765738847827,5.241914347119568,4,5
13199,Meriwether,GA,2020-05-10,65,1,21167,Atl,24.4,43.156800680304244,307.0817782397128,4.724335049841734,4,5
13217,Newton,GA,2020-05-10,258,8,111744,Atl,14.8,53.65746706758304,230.8848797250859,7.15922107674685,5,4
13223,Paulding,GA,2020-05-10,223,10,168667,Atl,7.8,29.347175203211062,132.21317744431335,5.928842037861585,3,2
13227,Pickens,GA,2020-05-10,33,2,32591,Atl,11,6.31769506919088,101.2549476849437,6.136663496057194,1,3
13231,Pike,GA,2020-05-10,44,2,18962,Atl,10.6,12.709629785887563,232.04303343529165,10.547410610695074,1,3
13247,Rockdale,GA,2020-05-10,239,7,90896,Atl,13.2,69.59052103502904,262.9378630522795,7.701108959690196,5,4
13255,Spalding,GA,2020-05-10,235,11,66703,Atl,17.3,41.504879840486936,352.30799214428134,16.491012398242958,4,5
13297,Walton,GA,2020-05-10,152,6,94593,Atl,11.9,25.734462380937277,160.68842303341685,6.342964067108559,3,3
06037,Los Angeles,CA,2020-05-10,31677,1530,10039107,LA,14.2,74.37075827561156,315.53603323482855,15.240399370183026,5,4
06059,Orange,CA,2020-05-10,3502,76,3175692,LA,10.5,60.06530230261625,110.27517781951146,2.3931791874023047,5,3
06065,Riverside,CA,2020-05-10,5039,205,2470546,LA,12.7,64.76790960378798,203.96301060575274,8.297760899817288,5,4
06071,San Bernardino,CA,2020-05-10,2964,114,2180085,LA,14.9,71.77899026872805,135.95800163755084,5.229153909136571,5,4
06111,Ventura,CA,2020-05-10,666,19,846006,LA,9.1,55.359536457188256,78.72284593726286,2.2458469561681595,5,2
53029,Island,WA,2020-05-10,174,9,85141,Sea,7.5,21.028646597996264,204.36687377409237,10.570700367625468,2,2
53033,King,WA,2020-05-10,7007,500,2252782,Sea,9.2,40.78126512019361,311.03764145842786,22.194779610277426,4,2
53035,Kitsap,WA,2020-05-10,155,2,271473,Sea,9.1,23.578403745492185,57.09591745772139,0.7367215155835019,2,2
53045,Mason,WA,2020-05-10,28,1,66768,Sea,13.7,19.630661394680086,41.93625688952792,1.497723460340283,2,4
53053,Pierce,WA,2020-05-10,1562,57,904980,Sea,8.7,33.18824725408297,172.60049945855155,6.29848173440297,3,2
53057,Skagit,WA,2020-05-10,401,14,129205,Sea,9.7,25.82562594326845,310.35950621105997,10.83549398243102,3,3
53061,Snohomish,WA,2020-05-10,2681,117,822083,Sea,7.5,30.879850331414225,326.1227880883074,14.23213957714732,3,2
53067,Thurston,WA,2020-05-10,121,1,290536,Sea,8.7,25.071247625079163,41.64716248588815,0.34419142550320786,2,2
22051,Jefferson Parish,LA,2020-05-10,6709,397,432493,NOr,15.6,47.82227689234277,1551.2389795904212,91.79339318786663,4,5
22071,Orleans Parish,LA,2020-05-10,6682,468,390144,NOr,23.8,69.40155429790026,1712.7009514435695,119.95570866141733,5,5
22075,Plaquemines Parish,LA,2020-05-10,190,17,23197,NOr,15.5,37.34965728326939,819.0714316506444,73.28533862137346,4,5
22087,St. Bernard Parish,LA,2020-05-10,513,20,47244,NOr,20.1,37.511641689950046,1085.8521717043434,42.33341800016933,4,5
22089,St. Charles Parish,LA,2020-05-10,594,43,53100,NOr,12.8,34.984934086628996,1118.6440677966102,80.97928436911488,4,4
22093,St. James Parish,LA,2020-05-10,257,20,21096,NOr,16.8,51.60219946909367,1218.2404247250663,94.80470231323473,5,5
22095,St. John the Baptist Parish,LA,2020-05-10,801,76,42837,NOr,18.2,66.56161729346127,1869.8788430562365,177.41671919135328,5,5
22103,St. Tammany Parish,LA,2020-05-10,1452,133,260419,NOr,11.8,21.423936041533068,557.5630042354821,51.07154239898011,2,3
22105,Tangipahoa Parish,LA,2020-05-10,654,28,134758,NOr,17.9,36.596714109737455,485.31441547069556,20.777987206696448,4,5
22117,Washington Parish,LA,2020-05-10,337,26,46194,NOr,24.6,34.863835130103475,729.5319738494177,56.28436593496991,3,5
28109,Pearl River,MS,2020-05-10,189,24,55535,NOr,18.1,18.267759070856215,340.3259205906185,43.215989916269024,2,5
